1,2,3
4,5,6
7,8,9

2,3,4
5,6,7
8,9,10

3,4,5
6,7,8
9,10,11

4,5,6
7,8,9
10,11,12

5,6,7
8,9,10
11,12,13

6,7,8
9,10,11
12,13,14

7,8,9
10,11,12
13,14,15

8,9,10
11,12,13
14,15,16

9,10,11
12,13,14
15,16,17

10,11,12
13,14,15
16,17,18

11,12,13
14,15,16
17,18,19

12,13,14
15,16,17
18,19,20

-1.23, 2.34, -3.45
4.56, -5.67, 6.78
-7.89, 8.90, -9.01

2.11, 3.22, -4.33
-5.44, 6.55, 7.66
8.77, -9.88, 10.99

-3.21, -4.32, 5.43
6.54, -7.65, -8.76
9.87, 10.98, -11.09

4.32, -5.43, -6.54
7.65, 8.76, -9.87
-10.98, 11.09, 12.10

-5.43, 6.54, 7.65
-8.76, -9.87, 10.98
11.09, 12.10, -13.21

6.54, 7.65, -8.76
9.87, -10.98, 11.09
12.10, -13.21, 14.32

7.65, -8.76, -9.87
10.98, 11.09, -12.10
13.21, 14.32, -15.43

-8.76, 9.87, 10.98
-11.09, -12.10, 13.21
14.32, -15.43, 16.54

9.87, 10.98, -11.09
12.10, -13.21, -14.32
15.43, 16.54, -17.65

-10.98, -11.09, 12.10
13.21, 14.32, -15.43
-16.54, -17.65, 18.76

11.09, -12.10, -13.21
-14.32, 15.43, 16.54
17.65, -18.76, 19.87

-12.10, 13.21, 14.32
-15.43, -16.54, 17.65
18.76, 19.87, -20.98
